query,model,rank,doc_id,score,term_overlap,term_overlap_ratio,content_snippet,relevan_manual
ppkm darurat warga negara asing dilarang masuk,TF,1,4350,0.45636931477224707,7,1.0," Masuknya Tenaga Kerja Asing (TKA) ke Indonesia terus menjadi sorotan masyarakat. Sebut saja ketika 20 orang pekerja asing asal China dikabarkan masuk ke Indonesia melalui Bandara Sultan Hasanuddin, M",
ppkm darurat warga negara asing dilarang masuk,TF,2,11203,0.41998195157666685,5,0.7142857142857143,  Kepala Kantor Wilayah Kementerian Hukum dan HAM (Kemenkumham) Bali Jamaruli Manihuruk menegaskan pihaknya akan langsung mendeportasi warga negara asing (WNA) yang melanggar protokol kesehatan (proke,
ppkm darurat warga negara asing dilarang masuk,TF,3,11316,0.4170917996249824,3,0.42857142857142855,"  Selama Pandemi Covid-19, ada sebanyak 198 Warga Negara Asing (WNA) di Pulau Bali, dari tahun 2020 hingga 2021 yang dideportasi oleh Kantor Wilayah Kementerian Hukum dan Ham (Kemenkum HAM) Provinsi B",
ppkm darurat warga negara asing dilarang masuk,TF,4,706,0.40951417967396103,3,0.42857142857142855," PPPKM darurat akan kembali diperpanjang pemerintah hingga akhir Juli 2021. Ini diungkapkan Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan (Menko PMK) Muhadjir Effendy di Yogyakarta, ha",
ppkm darurat warga negara asing dilarang masuk,TF,5,5229,0.40883275503007616,6,0.8571428571428571,  Pemerintah belum menutup pintu perjalanan internasional di tengah penyelenggaraan PPKM Darurat. Masuknya warga negara asing (WNA) ke Indonesia dinilai menimbulkan kecemburuan di masyarakat. Sebab it,
ppkm darurat warga negara asing dilarang masuk,TF,6,3026,0.40813021431086144,6,0.8571428571428571,"Wakil Ketua MPR Zulkifli Hasan alias Zulhas menyampaikan bahwa penerapan PPKM Darurat di Jawa dan Bali merupakan langkah pemerintah yang mesti didukung semua pihak. Hanya saja, dia menyoroti kabar mas",
ppkm darurat warga negara asing dilarang masuk,TF,7,12135,0.39817917531744706,3,0.42857142857142855,"  Kapolri Jenderal Listyo Sigit Prabowo meninjau pelaksanaan PPKM Darurat di Kelurahan Kebonjayanti, Kiaracondong, Bandung, Jawa Barat, Kamis, (15/7). Dalam kunjungan itu juga melihat perkembangan kas",
ppkm darurat warga negara asing dilarang masuk,TF,8,3387,0.3963309423975691,6,0.8571428571428571,"Di tengah pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Darurat untuk menekan lonjakan kasus Covid-19 di wilayah Jawa dan Bali, beredar video yang diklaim Warga Negara Asing (WNA) masuk Indonesia",
ppkm darurat warga negara asing dilarang masuk,TF,9,4458,0.39596362990340833,5,0.7142857142857143,"Pandemi covid-19 belum juga mereda. Bahkan di Indonesia jumlah kasus positif terus melonjak dan mencetak rekor baru. Pemerintah pun menyiapkan beberapa skenario untuk menahan laju penyebaran, salah sa",
ppkm darurat warga negara asing dilarang masuk,TF,10,694,0.39134544906540264,4,0.5714285714285714,Menteri Koordinator Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan meminta kepolisian agar mengawasi implementasi PPKM Darurat dengan mengacu pada panduan umum dan sektor yang masuk di sekto,
ppkm darurat warga negara asing dilarang masuk,TF-IDF,1,4350,0.3897307459880083,7,1.0," Masuknya Tenaga Kerja Asing (TKA) ke Indonesia terus menjadi sorotan masyarakat. Sebut saja ketika 20 orang pekerja asing asal China dikabarkan masuk ke Indonesia melalui Bandara Sultan Hasanuddin, M",
ppkm darurat warga negara asing dilarang masuk,TF-IDF,2,4374,0.3629635047892772,4,0.5714285714285714, Pemerintah melarang orang asing termasuk pekerja asing masuk ke Indonesia mulai 21 Juli 2021. Larangan berlaku seiring pemberlakuan pembatasan yang saat ini disebut PPKM Level 3 dan PPKM Level 4. Nam,
ppkm darurat warga negara asing dilarang masuk,TF-IDF,3,4380,0.3473208374901297,4,0.5714285714285714, Pemerintah melarang orang asing termasuk pekerja asing masuk ke wilayah Indonesia. Larangan berlaku mulai 21 Juli 2021 namun ada masa tenggang selama 2 hari untuk sosialisasi dan koordinasi. Menteri ,
ppkm darurat warga negara asing dilarang masuk,TF-IDF,4,2693,0.33748806585682695,4,0.5714285714285714,Kementerian Perhubungan (Kemenhub) akan mendukung arahan Peraturan Menteri Hukum dan HAM (Permenkumham) Nomor 27 Tahun 2021 terkait larangan pekerja asing masuk Indonesia. Juru Bicara Kementerian Perh,
ppkm darurat warga negara asing dilarang masuk,TF-IDF,5,11316,0.33533279813518757,3,0.42857142857142855,"  Selama Pandemi Covid-19, ada sebanyak 198 Warga Negara Asing (WNA) di Pulau Bali, dari tahun 2020 hingga 2021 yang dideportasi oleh Kantor Wilayah Kementerian Hukum dan Ham (Kemenkum HAM) Provinsi B",
ppkm darurat warga negara asing dilarang masuk,TF-IDF,6,2356,0.3329946511679985,6,0.8571428571428571,Pemerintah Indonesia telah melarang Tenaga Kerja Asing (TKA) masuk ke Tanah Air. Bandara yang dikelola PT Angkasa Pura II (Persero) pun turut melakukan pembatasan masuk terhadap Warga Negara Asing (WN,
ppkm darurat warga negara asing dilarang masuk,TF-IDF,7,4356,0.3224263147215878,5,0.7142857142857143,Kebijakan pelarangan Tenaga Kerja Asing (TKA) masuk Indonesia selama Pemberlakukan Pembatasan kegiatan Masyarakat (PPKM) tidak akan berjalan efektif. Hal tersebut karena masih ada pengecualian-pengecu,
ppkm darurat warga negara asing dilarang masuk,TF-IDF,8,1236,0.31434093955799497,4,0.5714285714285714,Pemerintah memutuskan melarang Tenaga Kerja Asing (TKA) masuk ke Indonesia selama Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM). Pelarangan itu termasuk bagi TKA di proyek strategis nasional. Wak,
